doc_id,text,platform
6810,full photo sam calleja albay philippines albay 2nd district representative carlos caloy loria considered political neophyte won election zaldy brother former bicol akb partylist representative christopher however well congressional run makapa corporation company loria founded securing billions government contracts bicol region loria company secured series lucrative contracts department works highways marking period substantial business growth firm won albay 2nd district sorsogon amounting billion contractor inherently wrong entering politics yet someone campaigned real change break entrenched political habits extent firm ties raises questions different truly sought replace read firms tied zaldy bag 38b fix floods worsened albay bicolana gabriela regional coordinator nica ombao promises real change filipinos require scrutinizing politician background especially money wealth comes assets liabilities originated ombao stressed difficulty believing loria anti corruption stance hard say corruption speaking issues actually already part anomalies difficult accept value promised real change already benefited old destructive exploitative system large cumulative value contracts secured company appears contradict loria recent post best requires billions respect protect mother nature rosaloria tandem composed loria albay governor noel rosal ran election partido demokratiko pilipino pdp laban political party detained former president rodrigo duterte whose administration implemented controversial country one makapa albay rehabilitation structure along quinale river river marks boundary polangui libon two towns hardest hit flooding caused severe tropical storm kristine trami read thirsty kristine victims albay village forced boil drink floodwater survival review securities exchange commission sec data showed makapa secured contract worth p125 declared finished despite significant spending residents report flooding problem area remains unsolved suffer burden ineffective often repaired rehabilitated due poor quality measured added nothing happening morly ortiz polangui resident lived near quinale river years experienced multiple floods want effective finally safe water ortiz myrna mirandilla libon lamented loss harvest especially onslaught kristine water kept rising necks last storm leave grandchildren afraid drown mirandilla filipino returned home walls roof belongings gone even farm animals washed away mirandilla lives farmer husband family explained cannot move safer location house close fields husband works kilusan magbubukid pilipinas kmp bicol blamed anomalous wide ranging damage experienced residents farmers mirandilla family experience bicol last year battered storms enteng kristine pepito brought widespread deep prolonged flooding naked truth kmp bicol filipino statement storm cause intensified effect vulnerability worsened failure corruption unfinished works sub standard construction department agriculture reported billion agricultural losses due kristine nationwide albay alone accounting p403 million libon considered rice granary albay suffered heavy damage study harvard humanitarian initiative hhi showed kristine victims accustomed calamities still far better prepared vincenzo bollettino director hhi resilient communities program despite facing frequent intense typhoons bicol lower preparedness highlights critical disconnect experience readiness lack preparedness inefficient leave vulnerable families gravely exposed disasters reliant officials post storm help reliance however often intersects politics loria case relief program calinga loria often provided aid communities battered floods resulted part firm makapa involved program became main visibility effort accelerating campaign since relief operation posts social media using hashtags cal25 signaled bid office mirandilla however best help albayanos get post disaster appearance proper effective safeguard lives properly done wouldn flooded wouldn suffer emphasized makapa operations limited construction family businesses albay makapa runs quarrying operations industry widely blamed albayanos worsened flooding company operates quarries near boundary ligao city guinobatan town area already known susceptibility flooding read typhoon hit bicol political clans aiding victims backed blamed flooding satellite image google maps clearly shows signage makapa quarry operations baligang ligao city furthermore satellite images spanning several years google earth pro illustrate environmental damage caused operations area asked company future involvement contracts loria forum would divest makapa company would cease participating contract biddings albay divest makapa first thing divest personally makapa corporation engage albay would better operates manila worth billions loria bicolano based sec documents loria spouse roslyn loria still registered makapa majority shareholders latest annual meeting loria held total shares amounting p126 million spouse held total shares amounting p43 million several amendments records latest report already indicates loria wife included among makapa shareholders however two daughters patricia karla loria karla nicole loria elvira remain among top shareholders holding shares amounting p35 million following loria divestment total shares makapa corporation decreased p215 million p148 million reduction almost half remaining registered shareholders loria spouse makapa secured government contracts worth p642 million albay 1st district p665 million 2nd district p445 million 3rd district p638 million sorsogon 2nd district include following repeatedly sought loria office since friday redirected office chief staff despite several follow ups yet receive response regarding matter update story loria office provides statement make,rappler
6806,full deputy house majority leader sandro marcos remark third party audits indispensable since legislators cannot credibly investigate timely necessary call candor matters acknowledging gap oversight first step toward fixing founder masungi georeserve foundation worked rangers communities partners protect restore upper marikina watershed critically threatened watershed supports millions filipinos witnessed environmental destruction failures two sides coin enabled systemic weaknesses oversight accountability read protecting masungi rock means geologists ombudsman recent dismissal bohol sagbayan mayor multiple department environment natural resources denr officials captain peak resort protected chocolate hills demonstrates accountability real consequences looks ombudsman found officials guilty grave misconduct gross neglect duty allowing resort operate without required permits unesco world heritage site national treasure read messy governance paperwork allowed resort chocolate hills case reached resolution went past internal agency processes proactively initiated ombudsman remained within denr systems would likely joined countless reversion cases still pending years bureaucratic delays pattern repeats threatened watersheds masungi resorts operating illegally despite repeated violations enforcement depends agencies initially failed prevent damage illustrates marcos call third party audits resonates agencies cannot effectively police failures audits reports cannot ceremonial must come penalties sanctions permit suspensions criminal charges without real consequences bad actors simply wait attention slip bureaucratic loopholes act determine country tolerate even headlines fade need institutionalized checks balances teeth unfortunately already attempts shield critical environmental information scrutiny invocation data privacy act withhold environmental impact assessments eias major ecological consequences deeply concerning eias personal records interest documents withholding erodes accountability undermines ability communities scientists watchdogs evaluate true costs proposed full disclosure environmental impact assessments audit findings contracts permit histories must non negotiable pasig city mayor vico sotto shown transparency curtails corruption first reforms redirected funds essential services removing procurement opacity baguio city mayor benjamin magalong repeatedly warned high percentage pocketed money government contracts take whistleblowers make visible question whistleblowers reformist mayors prototype solutions masungi tasked oversight protected supported climate exposing corruption end careers worse legal safeguards dedicated funding institutional backing watchdogs innovators fighting tide essential luxury time wait generational departmental reform climate crisis already delivering stronger typhoons erratic rainfall unprecedented flooding every year delay means lives lost livelihoods destroyed funds wasted reactive measures given entrenched corruption relying solely departmental reform unrealistic even well intentioned agencies often constrained political interference limited resources conflicting mandates dedicated nationally mandated commission essential one legal authority enforcement strength financial capacity independence oversee efforts watershed protection urgency integrity already precedent climate change commission ccc created coordinate climate policy highest levels ccc experience shows structure alone enough adequate funding genuine decision making power critical concrete grey infrastructure dikes drainage channels pumping stations floodgates works green infrastructure healthy watersheds intact forests functioning wetlands equally protected abstract environmental argument practical engineering fiscal one systems designed assumptions much water surrounding landscape absorb slow release watersheds degraded quarrying illegal logging land speculation poorly executed reforestation assumptions collapse slopes destabilize sediment clogs waterways peaks rise grey infrastructure forced handle far water debris designed driving maintenance costs shortening lifespan neglect green sabotage grey quarry operators illegal loggers land speculators destructive actors watershed areas must therefore face level rigorous enforceable audits largest contractors combine taxpayer funded programs international investments total funding green infrastructure runs hundreds billions annually yet flows often fewer safeguards emergency relief large scale environmental spending poor execution undermine resilience decades suffers fragmented oversight inconsistent transparency little long term outcome tracking investments scale trust policy deserve rigorous safeguards precisely intended prevent next crisis respond grey green infrastructure together form backbone disaster defense one compromised whole system falters last week stood top mountain outskirts metro manila high ranking official international agency looking valleys waterways lamented philippines poor billions squandered corruption could curtailed would find plenty important services curtailing corruption sectors matter safety climate survival every inflated contract every unmonitored every ignored violation weakens nation defenses disasters funds meant prevent choice clear embed rigorous safeguards accept keep pouring resources systems enrich leaving millions risk ann dumaliang founded masungi georeserve foundation continuing year fight restore protect limestone karst landscape leading efforts rehabilitate portions upper marikina watershed inertia illegal encroachment make,rappler
6797,full pulls raft transport residents wading flooded street monsoon rains malabon city eloisa lopez reuters manila philippines enough prone metro manila least initiated metro manila data department works highways amounted total p52 billion leading list contractors eight construction services least followed jelsie construction supply dahl construction corp formerly dahl construction construction corporation handled chua construction inc meanwhile rounded top five signed government information released following audit ordered president ferdinand marcos state nation address monday president released initial findings raised questions contracts awarded anyway metro manila zoom map dots see details including type work done contractor cost building period among others information presented searchable table find maps island group luzon visayas mindanao information presented searchable table map make,rappler
6822,full destroyed batangas leandro leviste team inspects province first legislative district lingkod legarda leviste manila philippines department works highways removed proposed p252 billion budget locally funded national expenditure program following president ferdinand marcos directive brings agency proposed budget p625 billion initial p881 billion p15 billion budget foreign assisted next year retained department exerted best efforts within limited period allotted ensure issues raised previously submitted budget funding completed duplicate adequately addressed secretary vince dizon letter addressed house speaker martin romualdez appropriations chairperson mika suansing agency scrutiny recent weeks government uncovered substandard ghost across country government officials including congressmen personnel alleged benefited trimmed billion worth duplicate completed including overlapping road sections rock netting cat eye stud installations total agency proposed budget slashed p255 billion nearly marcos recommended p255 billion freed cut used instead programs agriculture education healthcare housing labor social welfare information technology process cleaning budget necessary mistakenly removed revised proposal cagayan oro 2nd district representative rufus rodriguez flagged loss funding province multiphase bypass road mukhang nadamay cleanup sinubukang gawin departamento inadvertently dizon adding budget restored coordination appropriations looks inadvertently included department cleanup commit pagdating bidding procurement monitoring implementation babantayan dizon commit comes bidding procurement monitoring implementation keep close dizon took weeks ago agency develop integrated management plan basis development locally funded meanwhile caloocan 2nd district representative edgar erice criticized zero allocation warning cut would affect legitimate urgently needed sense reason providing funds erice suffer shenanigans previous congress make,rappler
6828,full tropical cyclone whose local name starts hit philippines southwest monsoon brought massive flooding across nation caused casualties billions pesos worth damages agriculture livelihoods properties led widespread criticisms large share national budget calls investigations mentioned actually happened last year carina happened year crising obviously criticisms failures outcry reached level longer ignored overlooked many factors contributed point president making accountability mismanaged clear priority seen recent state nation address sona welcomed move clear follow political damage regarding administration image necessarily reflected surveys present completion last year sona current scandals even harmful sees administration candidates relatively underwhelming performance mid term elections point faces associate form corruption incompetence among ones drawing flak influencers happen children politicians businesses many directly linked called nepo babies flaunting luxury clothes designer bags first class trips social media exactly new development years contrasting lavish lifestyles poverty disasters issues nation left endure time become effective short term way make issue relatable ordinary filipinos could look factors among others reaching point could simple filipinos simply enough wading deep floods cleaning houses streets losing income every single year days could every months unfortunately last point interpreted filipinos reacting problem directly affects matter long running issues become occasional inconvenience better late never guess folks would call breaking point use tipping point scientific discourse known moment series small incidents time cause drastic irreversible change system climate crisis would refer continued global warming caused pollution human activities cause widespread shifts likes water cycle sea surface temperatures contribute occurrences extreme rainfall formation typhoons rising sea levels days never clearer point would happen even faster sheer impunity even far reaching effects would realize gets far attention national climate discourse obviously important issue one part national climate strategy unknown nation many philippines climate plans updated developed many plans come condition developed countries must provide finance means support largely responsible causing climate crisis aligned nation calls climate justice global community however developed nations failed deliver philippines developing countries example country current plan reducing climate pollution less one percent estimated trillion needed full implementation received halfway decade make worse support end getting developed countries form loans translation end paying back one way another billions pesos wasted failed could used reduce dependence loans subsequently country rising debt current government could used prevent even economic non economic losses damages money could used protecting forests helping farmers actually mitigating floods much philippine government rightfully echoes call accountability global polluters must demand accountability backyard another way look concept tipping point comes climate action would refer dramatic permanent shift behaviors norms current would entail longer simply treating disasters annual inconvenience accountability secondary political patronage governance measured popularity immediate relief right skeptical seen reactions memes outrage social media months slowly silent seen previous pursuits justice turned instead game political machinations time different question tipping points philippines would reach first climate crisis climate action correct answer latter must happen sooner later climate analyst john leo national coordinator aksyon klima pilipinas philippines leading civil society network climate action deputy executive director programs campaigns living laudato philippines make,rappler
6818,full gathering storm members tindig pilipinas nagkaisa labor coalition kalipunan kilusang masa siklab simbahan komunidad laban katiwalian akbayan edsa shrine prepare power monument quezon city protest widespread government corruption jire carreon manila philippines wore white indicate non partisanship black symbolize government rotten grave woman tuguegarao north manila brought entire family city park hopefully teach children stand idly wrong done manila carried dog switching name tag homemade placard nangangagat kora bites corrupt runners bikers among earliest head luneta monument philippine national hero celebrities showed shedding glamour indignation others came free rides provided transport groups motorcycle hailing company offered discounts passengers coming rallies luneta edsa least one literally wheeled person disability confined wheelchair across seven kilometers cainta protesters gathered along edsa led mostly young thousands filipinos marched key cities across philippines sunday protest corruption government particularly quite poetically north luzon parts visayas marched anomalies rain poured brought super typhoon nando southwest monsoon student groups sectoral organizations religious groups various political persuasions unaffiliated concerned citizens condemned involved scandal acknowledging syndicate dealings made possible broken system needed fixing condemning corruption reached dizzying amounts beyond calling sustained vigilance among citizens protesters cried justice demand specific jail implicated lawmakers elected officials department works highways employees private contractors test limits already outraged social media weeks rallies prevailing sentiment jail corrupt make return stole coffers even scares protesters staging lightning rallies posh subdivisions called policontractors reside think well surpassed expectations kiko aquino dee spokesperson protest organizers power monument referring crowd estimate nationwide estimated joined protests government corruption philippine national police reported everybody able express sentiments anger grave corruption happening philippines way peaceful way rejected things outside constitution made voices heard renewed commitment spirit power dee told challenge rally sustaining definitely anger still organizers give venues express productively added rallies organized primarily protest trillion peso anomalies various groups took opportunity denounce endemic corruption general pointing families president ferdinand marcos vice president sara duterte complicit sunday protesters commemorated 53rd anniversary declaration martial law president ferdinand marcos father incumbent read marcos dictator son backs protests corruption opposition politicians celebrities joined rallies marches luneta manila power monument quezon city rallies held baguio tuguegarao legazpi cebu dumaguete tacloban bacolod cagayan oro butuan cotabato marawi key cities across country supporters vice president duterte gathered near main crowd protesters edsa call marcos ouster would mean duterte would take read duterte corrupt vice president refused make assets list explain alleged misuse confidential funds allotted office brother paolo district davao city got p51 billion funds last half father presidency state nation address president marcos warned widespread corruption filipinos lose lives livelihood belongings constant floods told involved mahiya ashamed early president launched website citizens could check submit information anomalous localities week already launched floodcontrolph app crowdsource leads possible investigative pieces marcos identified contractors cornered every across country last years administration five turned bagged multi billion peso contracts despite enough capital later created independent commission infrastructure would investigate possible works infrastructure corruption last years means probe covers six years rodrigo duterte president lawmakers engineers private contractors supposed perfected fund misuse deemed less detectable involving infrastructure allocations house representatives conducting probes anomalous although citizens expressed doubts would lead lawmakers among alleged benefited corruption engineers either dismissed service placed preventive suspension several immigration lookout list anti money laundering council frozen hundreds bank accounts linked persons investigated quarters hoping sunday protest would snowball something power revolution others concerned rage would hold clear obet sumayao wheelchair bound protester cainta rizal least dies wants see crooks behind bars reports aries rufo journalism fellows roland andam iya gozum gemma mendoza paterno esmaquel make,rappler
6799,full probe secretary vince dizon wendell alinea philippines manila philippines move forward without environmental compliance certificate ecc department works highways secretary vince dizon papayag dizon radio interview thursday pong anong infrastructure makakaapekto environment pwedeng ecc allow infrastructure affect environment allowed without ecc typically proponent submits environmental impact assessment department environment natural resources positive review proponent assessment denr issues environmental compliance certificate ecc outlines conditions proponent meet order compliance environmental regulations hinges reforms dizon wants installed moving forward new aside strict compliance ecc dizon approved experts given budgets lulusot eksperto malalagay budget gobyerno dizon meet requirements experts included government budget dizon monday proposed budget inspected undergoing investigation eccs proponents works required apply ecc along dams water supply infrastructure specified guidelines environmental impact assessment denr found reviewed maladaptation ghost poorly situated interfere environment change flow waterways means area near safe risk transferred another area poorly situated personal opinion important even compared ghost investigating denr undersecretary carlos primo david every time constrict block divert alter natural waterways change velocity volume water flow david added make,rappler
6819,full today marks 16th anniversary tropical storm ondoy many ways first opened eyes filipino nation reality climate crisis still took earlier year reported climate budget exceed trillion double previous year allocation seemed sign entire government finally ramping climate actions however know turns true congressional sessions agency meetings years mostly emphasized leading roles agencies climate change commission ccc department environment natural resources climate action department works highways mentioned nearly often yet agency far largest share domestic climate budget allotment general appropriations act gaa p350 billion trillion allocation given slight increase today finds epicenter worst corruption scandal recent years anomalies many across nation took streets last sunday demanding end culture impunity manifested many times reference previous peaceful protests tipping point renewed nationwide demand genuine governance climate budget needs looked gaa budget featured p330 billion construction new roads ports infrastructure climate resilient design standards additional p216 billion allotted retrofitting assets capital protect climate change climate variability examining document showed assets capital largely pertain roads reputation road construction repairs philippines perhaps even notorious given similarities issues often observed among conducting extensive national investigation road repair construction done current administration influenced department agriculture begin audit farm market roads since gaa contributing food security allotted budget went actions connected production distribution systems largely dedicated farm market road assuming allegations regarding corruption true point acts greenwashing government agencies officials misleading claims decisions supposedly environment friendly mask corrupt practices apply private sector current administration made climate action priority agenda would cause even damage reputation domestically even global level south korea certainly taken notice implications scandals way trace aligned national climate objectives climate change expenditure tagging ccet system classified contributing adaptation mitigation seven thematic areas country national climate change action plan food security water sufficiency human security intended provide transparent means monitoring funds spent climate inform decision making instead aside obvious imperative purge corruption scandals exposed weaknesses ccet system need addressed want avoid incidents firstly absurd much national climate budget concentrated one agency executive legislative branches must ensure even spread funds address climate relevant issues including food security water sufficiency sustainable energy renewable energy secondly must support strengthening monitoring evaluation mandated agencies ccc department budget management billions pesos reallotted capacity building fulfill tasks thirdly needs stronger quality assurance ensuring contribute climate action current practice agencies tagging needs reexamined revised ensure proposed actions justified climate tagged compliance appearance one unknown many provision gaa national government subjected multi scenario probabilistic analysis highly likely comply given seen around recently actually bills currently filed congress tries address ccet collective sake lawmakers seriously look improve system amending section gaa turn shall climate action without upholding justice core nothing false solution canceling right move communities remain prone floods corruption started dominating headlines days another reminder shift away infrastructure heavy funding start taking care forests rivers natural environment benefit filipino cater business interests unless governance becomes norm country money stolen given back everyone found guilty punished instead leaving posts hope arising peaceful demands might true far away though john leo algo national coordinator aksyon klima pilipinas philippines leading civil society coordination network climate action deputy executive director programs campaigns living laudato philippines make,rappler
6817,full david castuciano imagine ₱10 billion program spread across bulacan pampanga cavite current opaque system filipino taxpayers money used fund ghost line proponents pockets regional office department works highways submits proposals progress reports manually disbursements would pass layers accounting officers contractors suppliers ghost dredging never happened construction weak embankments would collapse heavy rainfall thereafter certified completed auditors face missing receipts altered logs falsified progress reports kickbacks laundered shell contractors fake subcontracting chains witnesses later allege much cost siphoned cash withdrawals split among lawmakers district engineers private partners monsoon season floodwaters rise across bulacan pampanga cavite tragedy meteorological made behind every clogged estero every collapsed embankment every vanished floodway lies paper trail padded contracts fake progress reports funds drained long first cement truck arrived one capital intensive programs one corrupted billions pesos government funds lost ghost dredging overpriced embankments nonexistent canals type corruption especially resilient invisibility unlike road buildings works often lie beneath surface completed buried soil hidden beneath water making inspection difficult impossible ordinary citizens even worse paper based procurement auditing system reliant affidavits signatures manual vouchers offers many opportunities collusion certificates completion fabricated receipts misplaced milestones manipulated justify premature fund releases time commission audit coa reviews documents money gone along evidence result pattern familiar philippine governance year year country inundated floodwater corruption existed technology capable making cycle deceit impossible system renders every peso every transaction every contractor traceable permanently blockchain represents trust without middlemen essence digital ledger distributed across multiple computers nodes every transaction recorded time stamped encrypted immutable meaning entered cannot changed deleted without consensus participants private sector blockchain revolutionized supply chains finance data verification sector offers equally transformative potential eliminating discretionary opacity nurtures corruption envision applying blockchain works particularly long seen cash cow district politics instead data stored single editable database inside office every record bidding documents disbursement vouchers would exist simultaneously across coa department budget management dbm civil society oversight nodes falsify record one would alter every copy record every node impossible feat without immediate detection creates first time trust code promise current practice regional office prepares proposals submits physical emailed copies central office bidding processes rely documents revised backdated swapped contract awarded progress reports become basis fund releases theory oversight mechanisms exist practice however collusion thrives fake progress reports trigger premature disbursements bureaucratic fog allows unscrupulous officials justify ghost hide kickbacks contractors play along rewarded new contracts resist blacklisted transparency neither technical procedural optional exercised politically convenient let visualize reengineered system philippine ledger powered blockchain every begins life digitally dbm coa maintains blockchain node data including cost estimates contractor identity geotagged location timeline encoded permanently work progresses milestone verified independent data sources drone imagery satellite photos iot internet things sensor hardware device sensor communication capabilities collects data physical world dredging volume transmitted network cloud platform analysis action collected proof hashed mathematically encoded attached blockchain entry verified smart contract self executing digital agreement automatically releases corresponding tranche funds certificate signature fixers every peso moves physics politics says work done consider hypothetical ₱200 million bulacan assigned contractor vantage point construction vantage divided four stages ₱50 million two months vantage uploads progress data claiming completion however blockchain ledger cross references satellite images showing embankment completed immediately smart contract halts release third tranche alerts participating nodes coa dbm triggers compliance check discrepancy neither hidden erased first time law enforced embedded code technology corruption proof default make blockchain truly impervious manipulation must operate within secure transparent ecosystem view multi agency governance node coa dbm ombudsman accredited non governmental organizations ngos holds equal authority single agency alter delete data without triggering network wide alert open protocols software code must publicly available inspection independent information technology experts open verification prevents black box tampering backdoor manipulation access dashboard ensure scrutiny citizens journalists watchdogs view non sensitive data status cost contractor encrypted identities data transparent personal identities auditors whistleblowers cryptographically protected prevent harassment retaliation independent forensic audits third party blockchain auditors perform semi annual reviews confirm integrity detect anomalies offline redundancy cyber defense multiple offline backups stored secure geographically distributed locations protect hacking data corruption six layers transform blockchain mere digital tool constitutional firewall corruption experts cast doubt blockchain detect malicious data inputs admittedly blockchain cannot self correct lies recorded prevent many false entries consensus smart contract checks expose provenance transparently attach verifiable corrections without erasing history blockchain truth machine transparency engine ensures every actor accountable input attempt mislead permanently traceable imagine regional office managing ₱80 million dike bulacan traditional systems engineer could falsify completed report attach fake coa compliance certificate trigger final payment often without physical verification data enters accounting system becomes part government record enabling kickbacks ghost blockchain stage could change falsification could caught corrected smart contract setup smart contract governs milestones disbursement automatically triggered specific digitally signed proofs uploaded safeguard stakeholders coa local government unit lgu independent technical audit team must sign digitally blockchain won recognize unsigned incomplete milestone submissions false completion attempt let say regional engineer collusion contractor uploads use valid credentials system initially accepts submission first glance looks legitimate blockchain stores permanent false entry showing completion multi oracle verification layer activates however blockchain linked multiple oracles mechanism action data isn deleted immutability stays corrective transaction appended automatically labeling entry disputed pending review dao based governance rectification case escalates governance dao decentralized autonomous organization composed central office representative coa resident auditor lgu engineer citizen observer civil society vote rectification proposal dao reaches majority consensus data fraudulent smart contract rolls back ₱20m pending final payment freezing releases rectification block added result blockchain shows false entry correction trail making fraud attempt permanently visible automatic flagging coa ombudsman government audit systems interoperable via apis application programming interfaces flagged record automatically alerts coa fraud detection unit ombudsman fact finding office investigators instantly trace uploaded original entry timestamp wallet digital signature deletion excuses accountability cryptographically sealed community transparency citizen oversight citizens open dashboard dpwhfloodchain gov see deters collusion builds trust multiple bulacan flagged regional engineer analysts journalists map patterns corruption across contracts blockchain cannot erase bad data trap open single falsified upload becomes unerasable piece evidence one exposes lie committed heart blockchain anti corruption utility turns cover ups breadcrumbs implications extend far beyond drainage canals dikes blockchain based ledger could scaled across infrastructure programs becomes part national integrity grid digital paper trail cannot burned even sophisticated networks collusion crumble data cannot falsified globally blockchain already begun reshaping accountability estonia land registries records blockchain secured eliminating property fraud georgia uses blockchain secure land titles making document forgery impossible colombia pilot apply blockchain contracts preventing alterations bidding chile national energy commission adopted blockchain verify energy pricing data building trust among consumers philippines follow suit deeper purpose efficiency redemption system long marred patronage predictably resistance come profit opacity lawmakers local executives argue blockchain technical costly foreign truth cost inaction dwarfs software expense even annual infrastructure outlays roughly ₱80 billion vanish corruption blackhole blockchain potential savings easily justify investment another challenge institutional inertia bureaucrats unaccustomed transparency fear automation counter training pilot programs must done gradual phases starting high risk sectors payoff credibility immediate legal framework matters legislation must classify blockchain records official audit evidence admissible court binding upon agencies current setup witnesses risk retaliation affidavits often vanish get rewritten blockchain flips logic every statement evidence photo timestamped log uploaded becomes indelible even corrupt official later tries coerce retraction digital record remains doesn empower whistleblowers redefines testimonial truth effect blockchain becomes ultimate state witness incorruptible tireless immune pressure coa annual reports though valuable often autopsies diagnose fraud patient fund already died blockchain system coa becomes proactive reactive every disbursement visible real time anomalies trigger alerts moment data diverges verified ground truth transforms auditing afterthought continuous living process collapse trust government dangerous physical flooding scandal erodes faith taxation governance reform citizens begin assume every canal cash conduit every bridge payoff embedding transparency code blockchain begins rebuild faith ordinary filipinos open web portal see verifiably ₱30 million spent work truly sufficiently completed cynicism yields accountability trust ceases rhetorical becomes mathematical national rollout must begin pilot programs central luzon epicenter recurring graft ideal testbed see parallel pilots follow visayas coastal rehabilitation mindanao irrigation lessons learned refine architecture nationwide expansion private collaboration essential local tech startups civil society groups academe must design ensuring serves citizens politicians cohorts ultimately blockchain governance technology moral architecture coding honesty infrastructure decision making dream filipinos finally country every peso leaves visible trail something real beneficial everyone lawmaker insert without knowledge coa database retrospective real time journalists verify truth seconds years system corruption cannot adapt system immune forgetting floodwaters still rise heavy rainfall time greed would root cause would daughter michelle patiently teaching blockchain works computer science graduate ateneo manila senior software engineer maya philippines make,rappler
6809,full manila philippines different government agencies uncovered leaast ghost across country department works highways secretary vince dizon press conference thursday dizon discovered validation around validation conducted coordination department national defense armed forces philippines philippine national police department economy planning development dizon disclose total value funding period ghost located luzon congressional probes well surprise ocular inspections president ferdinand marcos pointed non existent bulacan commission audit submitted fraud audit reports independent commission infrastructure flagged alleged anomalous bulacan meanwhile recommended reduce spending authority regional district offices civil works current rules regional engineering offices approve worth p400 million wants slash cap p200 million district engineering offices spending limit p150 million proposes reduce p75 million recommendation addressed dated made thursday secretary manuel bonoan department increased level authority procurement civil works regional district offices prior bonoan directive district offices could approve p100 million regional offices limited p300 million table shows changes spending authority levels proposed adjustments recommendation comes amid mounting concerns corruption within district regional offices bulacan 1st district engineering office particular scrutiny following reports collusion among district engineers politicians contractors dismissed bulacan assistant district engineer brice hernandez even revealed 1st deo substandard make,rappler
